add-none,1,10,20,19425637,971281,0
add-none,1,20,40,12720829,318020,0
add-none,1,40,80,21416810,267710,0
add-none,1,80,160,17693275,110582,0
add-none,1,100,200,10514426,52572,0
add-none,1,1000,2000,13419083,6709,0
add-none,1,10000,20000,15187084,759,0
add-none,1,100000,200000,21393203,106,0
add-none,2,10,40,12450802,311270,0
add-none,2,20,80,21434688,267933,0
add-none,2,40,160,16456186,102851,0
add-none,2,80,320,28672644,89602,0
add-none,2,100,400,21764433,54411,0
add-none,2,1000,4000,29908487,7477,0
add-none,2,10000,40000,10795238,269,0
add-none,2,100000,400000,35505957,88,0
add-none,4,10,80,23422396,292779,0
add-none,4,20,160,22394088,139963,0
add-none,4,40,320,45923237,143510,0
add-none,4,80,640,21585858,33727,0
add-none,4,100,800,14406366,18007,13
add-none,4,1000,8000,28433125,3554,0
add-none,4,10000,80000,23137943,289,0
add-none,4,100000,800000,41022693,51,-81842
add-none,8,10,160,32579485,203621,0
add-none,8,20,320,28655184,89547,0
add-none,8,40,640,28620479,44719,0
add-none,8,80,1280,41389193,32335,0
add-none,8,100,1600,26405645,16503,20
add-none,8,1000,16000,52158398,3259,0
add-none,8,10000,160000,34432917,215,0
add-none,8,100000,1600000,55757522,34,-172507
add-none,12,10,240,33551676,139798,0
add-none,12,20,480,35707113,74389,3
add-none,12,40,960,28661234,29855,0
add-none,12,80,1920,33560112,17479,-43
add-none,12,100,2400,44336881,18473,0
add-none,12,1000,24000,22231908,926,638
add-none,12,10000,240000,32818205,136,-4076
add-none,12,100000,2400000,70103349,29,109666
add-yield-none,1,10,20,32989731,1649486,0
add-yield-none,1,20,40,50511704,1262792,0
add-yield-none,1,40,80,34947245,436840,0
add-yield-none,1,80,160,26247231,164045,0
add-yield-none,1,100,200,37322407,186612,0
add-yield-none,1,1000,2000,39581062,19790,0
add-yield-none,1,10000,20000,186419961,9320,0
add-yield-none,1,100000,200000,438797954,2193,0
add-yield-none,2,10,40,32300257,807506,0
add-yield-none,2,20,80,69418047,867725,0
add-yield-none,2,40,160,34387889,214924,19
add-yield-none,2,80,320,35981271,112441,0
add-yield-none,2,100,400,32215965,80539,0
add-yield-none,2,1000,4000,36452733,9113,0
add-yield-none,2,10000,40000,101424155,2535,0
add-yield-none,2,100000,400000,722897690,1807,12868
add-yield-none,4,10,80,56394868,704935,0
add-yield-none,4,20,160,60677276,379232,10
add-yield-none,4,40,320,34334483,107295,0
add-yield-none,4,80,640,34407682,53762,0
add-yield-none,4,100,800,34403524,43004,-15
add-yield-none,4,1000,8000,74367519,9295,0
add-yield-none,4,10000,80000,178020193,2225,7359
add-yield-none,4,100000,800000,1436518319,1795,10668
add-yield-none,8,10,160,36052027,225325,10
add-yield-none,8,20,320,84843799,265136,1
add-yield-none,8,40,640,64540998,100845,0
add-yield-none,8,80,1280,55322633,43220,0
add-yield-none,8,100,1600,74775553,46734,60
add-yield-none,8,1000,16000,98396643,6149,133
add-yield-none,8,10000,160000,262799944,1642,-6014
add-yield-none,8,100000,1600000,1517890434,948,-50329
add-yield-none,12,10,240,59942734,249761,2
add-yield-none,12,20,480,74810711,155855,0
add-yield-none,12,40,960,55549111,57863,0
add-yield-none,12,80,1920,77565565,40398,22
add-yield-none,12,100,2400,62114294,25880,0
add-yield-none,12,1000,24000,80624431,3359,75
add-yield-none,12,10000,240000,263702207,1098,-2403
